HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,Links 
450.024,12.5,450.024,11.28,450.024,18.06,
450.25,12.5,450.25,10.28,450.25,15.06,
450.476,11.5,450.476,11.28,450.476,14.06,
450.703,12.5,450.703,10.28,450.703,11.06,
450.929,28.5,450.929,23.28,450.929,31.06,
451.155,12.5,451.155,13.28,451.155,14.06,
451.382,10.5,451.382,13.28,451.382,16.06,
451.608,10.5,451.608,9.28,451.608,12.06,
451.834,14.5,451.834,9.28,451.834,9.06,
452.06,10.5,452.06,11.28,452.06,11.06,
452.287,6.5,452.287,12.28,452.287,16.06,
452.513,7.5,452.513,11.28,452.513,13.06,
452.739,8.5,452.739,10.28,452.739,11.06,
452.965,11.5,452.965,13.28,452.965,18.06,
453.192,8.5,453.192,10.28,453.192,12.06,
453.418,14.5,453.418,12.28,453.418,13.06,
453.644,9.5,453.644,11.28,453.644,10.06,
453.87,7.5,453.87,8.28,453.87,18.06,
454.097,14.5,454.097,9.28,454.097,17.06,
454.323,9.5,454.323,9.28,454.323,22.06,
454.549,12.5,454.549,14.28,454.549,16.06,
454.775,12.5,454.775,10.28,454.775,14.06,
455.002,10.5,455.002,5.28,455.002,11.06,
455.228,13.5,455.228,5.28,455.228,13.06,
455.454,8.5,455.454,9.28,455.454,15.06,
455.68,12.5,455.68,15.28,455.68,12.06,
455.906,6.5,455.906,11.28,455.906,11.06,
456.133,16.5,456.133,11.28,456.133,19.06,
456.359,12.5,456.359,7.28,456.359,14.06,
456.585,11.5,456.585,11.28,456.585,7.06,
456.811,10.5,456.811,11.28,456.811,14.06,
457.037,12.5,457.037,15.28,457.037,14.06,
457.263,13.5,457.263,12.28,457.263,16.06,
457.49,10.5,457.49,11.28,457.49,20.06,
457.716,15.5,457.716,14.28,457.716,12.06,
457.942,14.5,457.942,14.28,457.942,15.06,
458.168,8.5,458.168,10.28,458.168,17.06,
458.394,7.5,458.394,11.28,458.394,12.06,
458.62,10.5,458.62,9.28,458.62,13.06,
458.847,12.5,458.847,11.28,458.847,18.06,
459.073,11.5,459.073,8.28,459.073,16.06,
459.299,14.5,459.299,9.28,459.299,12.06,
459.525,8.5,459.525,10.28,459.525,12.06,
459.751,8.5,459.751,9.28,459.751,14.06,
459.977,10.5,459.977,12.28,459.977,14.06,
460.203,12.5,460.203,13.28,460.203,17.06,
460.429,12.5,460.429,11.28,460.429,14.06,
460.656,10.5,460.656,12.28,460.656,12.06,
460.882,6.5,460.882,11.28,460.882,15.06,
461.108,11.5,461.108,8.28,461.108,16.06,
461.334,10.5,461.334,12.28,461.334,14.06,
461.56,10.5,461.56,11.28,461.56,10.06,
461.786,13.5,461.786,14.28,461.786,13.06,
462.012,11.5,462.012,7.28,462.012,15.06,
462.238,14.5,462.238,10.28,462.238,14.06,
462.464,7.5,462.464,9.28,462.464,10.06,
462.69,10.5,462.69,9.28,462.69,15.06,
462.916,10.5,462.916,15.28,462.916,15.06,
463.142,15.5,463.142,11.28,463.142,18.06,
463.368,14.5,463.368,9.28,463.368,12.06,
463.594,12.5,463.594,12.28,463.594,10.06,
463.82,14.5,463.82,8.28,463.82,16.06,
464.047,14.5,464.047,15.28,464.047,20.06,
464.273,10.5,464.273,9.28,464.273,12.06,
464.499,8.5,464.499,13.28,464.499,10.06,
464.725,14.5,464.725,10.28,464.725,16.06,
464.951,12.5,464.951,13.28,464.951,14.06,
465.177,13.5,465.177,9.28,465.177,16.06,
465.403,12.5,465.403,13.28,465.403,12.06,
