HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
635.847,-7.77,635.847,-7.77,635.847,-7.15,-7.563333333
635.864,0.23,635.864,0.23,635.864,3.85,1.436666667
635.882,4.23,635.882,4.23,635.882,5.85,4.77
635.899,21.23,635.899,21.23,635.899,21.85,21.43666667
635.917,3.23,635.917,3.23,635.917,3.85,3.436666667
635.934,3.23,635.934,3.23,635.934,-1.15,1.77
635.952,6.23,635.952,6.23,635.952,-2.15,3.436666667
635.969,7.23,635.969,7.23,635.969,14.85,9.77
635.987,6.23,635.987,6.23,635.987,4.85,5.77
636.004,38.23,636.004,38.23,636.004,23.85,33.43666667
636.022,7.23,636.022,7.23,636.022,16.85,10.43666667
636.039,-5.77,636.039,-5.77,636.039,8.85,-0.8966666667
636.057,19.23,636.057,19.23,636.057,24.85,21.10333333
636.074,-11.77,636.074,-11.77,636.074,9.85,-4.563333333
636.092,-15.77,636.092,-15.77,636.092,1.85,-9.896666667
636.109,-2.77,636.109,-2.77,636.109,-5.15,-3.563333333
636.127,10.23,636.127,10.23,636.127,-4.15,5.436666667
636.144,9.23,636.144,9.23,636.144,6.85,8.436666667
636.161,26.23,636.161,26.23,636.161,13.85,22.10333333
636.179,-2.77,636.179,-2.77,636.179,-4.15,-3.23
636.196,-0.77,636.196,-0.77,636.196,0.85,-0.23
636.214,2.23,636.214,2.23,636.214,-18.15,-4.563333333
636.231,-4.77,636.231,-4.77,636.231,-7.15,-5.563333333
636.249,-14.77,636.249,-14.77,636.249,-4.15,-11.23
636.266,2.23,636.266,2.23,636.266,15.85,6.77
636.283,11.23,636.283,11.23,636.283,-9.15,4.436666667
636.301,-2.77,636.301,-2.77,636.301,-4.15,-3.23
636.318,-10.77,636.318,-10.77,636.318,-14.15,-11.89666667
636.336,-8.77,636.336,-8.77,636.336,-1.15,-6.23
636.353,-11.77,636.353,-11.77,636.353,5.85,-5.896666667
636.371,6.23,636.371,6.23,636.371,12.85,8.436666667
636.388,8.23,636.388,8.23,636.388,4.85,7.103333333
636.405,28.23,636.405,28.23,636.405,5.85,20.77
636.423,14.23,636.423,14.23,636.423,8.85,12.43666667
636.44,-2.77,636.44,-2.77,636.44,21.85,5.436666667
636.458,-2.77,636.458,-2.77,636.458,5.85,0.1033333333
636.475,-13.77,636.475,-13.77,636.475,-8.15,-11.89666667
636.492,2.23,636.492,2.23,636.492,-5.15,-0.23
636.51,3.23,636.51,3.23,636.51,-8.15,-0.5633333333
636.527,5.23,636.527,5.23,636.527,-9.15,0.4366666667
636.545,-7.77,636.545,-7.77,636.545,-0.15,-5.23
636.562,-2.77,636.562,-2.77,636.562,-19.15,-8.23
636.579,1.23,636.579,1.23,636.579,-5.15,-0.8966666667
636.597,-0.77,636.597,-0.77,636.597,8.85,2.436666667
636.614,8.23,636.614,8.23,636.614,8.85,8.436666667
636.632,0.23,636.632,0.23,636.632,13.85,4.77
636.649,19.23,636.649,19.23,636.649,16.85,18.43666667
636.666,28.23,636.666,28.23,636.666,10.85,22.43666667
636.684,15.23,636.684,15.23,636.684,-10.15,6.77
636.701,-8.77,636.701,-8.77,636.701,-18.15,-11.89666667
636.718,-16.77,636.718,-16.77,636.718,-13.15,-15.56333333
636.736,-3.77,636.736,-3.77,636.736,-10.15,-5.896666667
636.753,-0.77,636.753,-0.77,636.753,-2.15,-1.23
636.771,7.23,636.771,7.23,636.771,3.85,6.103333333
636.788,17.23,636.788,17.23,636.788,6.85,13.77
636.805,-0.77,636.805,-0.77,636.805,-3.15,-1.563333333
636.823,-10.77,636.823,-10.77,636.823,-18.15,-13.23
636.84,1.23,636.84,1.23,636.84,-8.15,-1.896666667
636.857,-0.77,636.857,-0.77,636.857,-18.15,-6.563333333
636.875,-1.77,636.875,-1.77,636.875,-4.15,-2.563333333
636.892,1.23,636.892,1.23,636.892,-1.15,0.4366666667
636.909,3.23,636.909,3.23,636.909,21.85,9.436666667
636.927,1.23,636.927,1.23,636.927,7.85,3.436666667
636.944,-14.77,636.944,-14.77,636.944,-5.15,-11.56333333
636.961,-7.77,636.961,-7.77,636.961,-12.15,-9.23
636.979,-17.77,636.979,-17.77,636.979,-22.15,-19.23
636.996,-12.77,636.996,-12.77,636.996,-15.15,-13.56333333
637.013,-1.77,637.013,-1.77,637.013,-6.15,-3.23
637.031,8.23,637.031,8.23,637.031,-14.15,0.77
637.048,-11.77,637.048,-11.77,637.048,-11.15,-11.56333333
637.065,-4.77,637.065,-4.77,637.065,0.85,-2.896666667
637.083,8.23,637.083,8.23,637.083,1.85,6.103333333
637.1,16.23,637.1,16.23,637.1,-1.15,10.43666667
637.117,-1.77,637.117,-1.77,637.117,1.85,-0.5633333333
637.135,5.23,637.135,5.23,637.135,-4.15,2.103333333
